# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
17.851,989.698,1073.198,-16.141,16.146,-0.449,1.163,83.87,0.056,83.87,89.962,0.398,1.073,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,91.554,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.257,90,8.024,890.96,0.001,336.162,0.048,1.742e6,21.6,366.435,0.5,0.183,0.002
18.351,981.571,1065.071,-16.366,16.393,-0.218,0.728,83.537,0.056,83.537,89.961,0.935,0.695,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,93.454,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.127,90,8.077,891.824,0.001,336.194,0.049,1.76e6,21.6,366.435,0.5,0.183,0.002
18.851,973.361,1056.861,-16.475,16.525,-0.107,0.193,82.983,0.057,82.983,89.961,1.282,0.161,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,94.302,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.559,90,8.13,892.697,0.001,336.226,0.049,1.769e6,21.6,366.435,0.5,0.183,0.002
19.351,965.11,1048.61,-16.528,16.584,-0.036,0.172,82.321,0.057,82.321,89.96,1.363,0.168,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,94.991,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.651,90,8.184,893.575,0.001,336.258,0.049,1.776e6,21.6,366.435,0.5,0.183,0.002
19.851,956.841,1040.341,-16.546,16.609,-0.004,0.287,81.619,0.057,81.619,89.96,1.447,0.287,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.328,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.936,90,8.238,894.455,0.001,336.291,0.049,1.779e6,21.6,366.435,0.5,0.183,0.002
20.351,948.567,1032.067,-16.548,16.625,0.003,0.142,80.86,0.057,80.86,89.959,1.59,0.142,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.365,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.833,90,8.292,895.335,0.001,336.324,0.049,1.78e6,21.6,366.435,0.5,0.184,0.002
20.851,940.294,1023.794,-16.547,16.63,0.008,0.011,80.047,0.057,80.047,89.959,1.661,0.008,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.404,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.651,90,8.345,896.215,0.001,336.356,0.049,1.781e6,21.6,366.435,0.5,0.184,0.002
21.351,932.021,1015.521,-16.543,16.626,0.013,0.222,79.217,0.057,79.217,89.958,1.657,0.222,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.484,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,8.399,897.095,0.001,336.389,0.049,1.782e6,21.6,366.435,0.5,0.184,0.002
21.851,923.751,1007.251,-16.536,16.631,0.012,0.159,78.361,0.057,78.361,89.958,1.768,0.158,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.458,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.039,90,8.453,897.974,0.001,336.421,0.049,1.782e6,21.6,366.435,0.5,0.184,0.002
22.351,915.485,998.985,-16.53,16.633,0.012,0.116,77.457,0.057,77.457,89.958,1.847,0.116,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.452,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,8.507,898.859,0.001,336.454,0.049,1.783e6,21.6,366.435,0.5,0.184,0.002
22.851,907.221,990.721,-16.524,16.634,0.012,0.049,76.519,0.057,76.519,89.957,1.905,0.047,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.451,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.988,90,8.56,899.782,0.001,336.486,0.049,1.783e6,21.6,366.435,0.5,0.184,0.002
23.351,898.96,982.46,-16.518,16.63,0.014,0.127,75.561,0.057,75.561,89.957,1.928,0.126,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.473,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.145,90,8.614,900.705,0.001,336.519,0.049,1.784e6,21.6,366.435,0.5,0.184,0.002
23.851,890.703,974.203,-16.511,16.631,0.014,0.137,74.581,0.057,74.581,89.956,1.991,0.137,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.474,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.225,90,8.668,901.628,0.001,336.552,0.049,1.784e6,21.6,366.435,0.5,0.184,0.002
24.351,882.449,965.949,-16.504,16.632,0.013,0.051,73.569,0.057,73.569,89.956,2.06,0.05,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.456,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.979,90,8.721,902.55,0.001,336.584,0.049,1.784e6,21.6,366.435,0.5,0.184,0.002
24.851,874.199,957.699,-16.498,16.623,0.014,0.119,72.545,0.057,72.545,89.955,2.035,0.118,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.472,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84,90,8.775,903.472,0.001,336.617,0.049,1.785e6,21.6,366.435,0.5,0.184,0.002
25.351,865.952,949.452,-16.491,16.609,0.013,0.062,71.542,0.057,71.542,89.954,1.976,0.061,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.461,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.082,90,8.829,904.393,0.001,336.649,0.049,1.785e6,21.6,366.435,0.5,0.184,0.002
25.851,857.708,941.208,-16.484,16.606,0.013,0.054,70.547,0.057,70.547,89.954,2.006,0.052,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.462,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.922,90,8.882,905.314,0.001,336.681,0.049,1.786e6,21.6,366.435,0.5,0.184,0.002
26.351,849.468,932.968,-16.477,16.596,0.016,0.236,69.55,0.057,69.55,89.953,1.98,0.236,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.515,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.587,90,8.936,906.235,0.001,336.714,0.049,1.787e6,21.6,366.435,0.5,0.184,0.002
26.851,841.231,924.731,-16.469,16.574,0.012,0.057,68.59,0.057,68.59,89.953,1.862,0.056,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.448,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.772,90,8.989,907.155,0.001,336.746,0.049,1.787e6,21.6,366.435,0.5,0.184,0.002
27.351,832.998,916.498,-16.463,16.565,0.017,0.281,67.666,0.056,67.666,89.952,1.834,0.281,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.534,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.31,90,9.043,908.075,0.001,336.779,0.049,1.788e6,21.6,366.435,0.5,0.184,0.002
27.851,824.768,908.268,-16.455,16.573,0.011,0.097,66.713,0.056,66.713,89.952,1.975,0.096,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.445,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14,90,9.096,908.994,0.001,336.811,0.049,1.788e6,21.6,366.435,0.5,0.185,0.002
28.351,816.542,900.042,-16.449,16.573,0.012,0.047,65.714,0.056,65.714,89.951,2.023,0.045,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.451,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95,90,9.15,909.914,0.001,336.844,0.049,1.788e6,21.6,366.435,0.5,0.185,0.002
28.851,808.319,891.819,-16.443,16.564,0.014,0.168,64.708,0.056,64.708,89.95,2,0.167,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.485,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.284,90,9.203,910.832,0.001,336.876,0.049,1.789e6,21.6,366.435,0.5,0.185,0.002
29.351,800.099,883.599,-16.436,16.568,0.012,0.025,63.687,0.056,63.687,89.95,2.084,0.021,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.452,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123,90,9.257,911.751,0.001,336.908,0.049,1.789e6,21.6,366.435,0.5,0.185,0.002
29.851,791.883,875.383,-16.43,16.563,0.017,0.292,62.643,0.056,62.643,89.949,2.094,0.292,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.544,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.587,90,9.31,912.669,0.001,336.941,0.049,1.79e6,21.6,366.435,0.5,0.185,0.002
30.351,783.67,867.17,-16.421,16.573,0.013,0.236,61.559,0.056,61.559,89.948,2.24,0.236,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.489,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.848,90,9.363,913.586,0.001,336.973,0.049,1.79e6,21.6,366.435,0.5,0.185,0.002
30.851,775.461,858.961,-16.414,16.551,0.011,0.011,60.468,0.056,60.468,89.947,2.122,0.001,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.435,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.124,90,9.417,914.503,0.001,337.005,0.049,1.79e6,21.6,366.435,0.5,0.185,0.002
31.351,767.255,850.755,-16.409,16.546,0.012,0.068,59.407,0.056,59.407,89.946,2.122,0.067,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.455,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.013,90,9.47,915.42,0.001,337.038,0.049,1.791e6,21.6,366.435,0.5,0.185,0.002
31.851,759.052,842.552,-16.403,16.535,0.013,0.036,58.355,0.055,58.355,89.946,2.088,0.034,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.457,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,9.523,916.337,0.001,337.07,0.049,1.791e6,21.6,366.435,0.5,0.185,0.002
32.351,750.852,834.352,-16.397,16.527,0.013,0.08,57.315,0.055,57.315,89.945,2.071,0.079,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.465,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.943,90,9.577,917.253,0.001,337.102,0.049,1.792e6,21.6,366.435,0.5,0.185,0.002
32.851,742.656,826.156,-16.39,16.515,0.013,0.014,56.289,0.055,56.29,89.944,2.032,0.006,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.46,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,9.63,918.169,0.001,337.135,0.049,1.792e6,21.6,366.435,0.5,0.185,0.002
33.351,734.462,817.962,-16.384,16.509,0.014,0.148,55.273,0.055,55.273,89.943,2.035,0.147,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.483,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.285,90,9.683,919.084,0.001,337.167,0.049,1.793e6,21.6,366.435,0.5,0.185,0.002
33.851,726.272,809.772,-16.376,16.512,0.013,0.107,54.237,0.055,54.237,89.942,2.109,0.107,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.29,90,9.736,919.999,0.001,337.199,0.049,1.793e6,21.6,366.435,0.5,0.185,0.002
34.351,718.086,801.586,-16.37,16.512,0.013,0.09,53.169,0.055,53.169,89.941,2.162,0.089,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.463,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.017,90,9.79,920.914,0.001,337.231,0.049,1.794e6,21.6,366.435,0.5,0.186,0.002
34.851,709.902,793.402,-16.363,16.5,0.013,0.11,52.099,0.055,52.099,89.94,2.118,0.109,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.469,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.939,90,9.843,921.828,0.001,337.264,0.049,1.794e6,21.6,366.435,0.5,0.186,0.002
35.351,701.722,785.222,-16.357,16.486,0.013,0.086,51.054,0.055,51.054,89.939,2.063,0.085,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.464,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.924,90,9.896,922.742,0.001,337.296,0.048,1.795e6,21.6,366.435,0.5,0.186,0.002
35.851,693.545,777.045,-16.35,16.475,0.014,0.155,50.033,0.055,50.033,89.938,2.02,0.155,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.482,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.282,90,9.949,923.655,0.001,337.328,0.048,1.795e6,21.6,366.435,0.5,0.186,0.002
36.351,685.372,768.872,-16.343,16.477,0.013,0.139,49.004,0.054,49.004,89.936,2.098,0.138,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.472,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.871,90,10.002,924.569,0.001,337.36,0.048,1.796e6,21.6,366.435,0.5,0.186,0.002
36.851,677.202,760.702,-16.337,16.462,0.015,0.23,47.972,0.054,47.972,89.935,2.029,0.229,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.504,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.65,90,10.055,925.481,0.001,337.392,0.048,1.796e6,21.6,366.435,0.5,0.186,0.002
37.351,669.035,752.535,-16.329,16.441,0.012,0.138,46.987,0.054,46.987,89.934,1.914,0.138,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.788,0,110.323,-5.108,0,0,95.463,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.147,90,10.109,926.394,0.001,337.425,0.048,1.797e6,21.6,366.435,0.5,0.186,0.002
37.851,660.872,744.372,-16.323,16.443,0.015,0.257,46.012,0.054,46.012,89.933,1.983,0.257,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.515,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.414,90,10.162,927.306,0.001,337.457,0.048,1.797e6,21.6,366.435,0.5,0.186,0.002
38.351,652.712,736.212,-16.316,16.452,0.011,0.075,44.989,0.054,44.989,89.931,2.111,0.074,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.443,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.238,90,10.215,928.217,0.001,337.489,0.048,1.797e6,21.6,366.435,0.5,0.186,0.002
38.851,644.556,728.056,-16.311,16.451,0.012,0.064,43.924,0.054,43.924,89.93,2.148,0.063,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.454,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.256,90,10.268,929.129,0.001,337.521,0.048,1.798e6,21.6,366.435,0.5,0.186,0.002
39.351,636.402,719.902,-16.305,16.45,0.013,0.08,42.842,0.054,42.842,89.928,2.18,0.079,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.462,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.051,90,10.321,930.04,0.001,337.553,0.048,1.798e6,21.6,366.435,0.5,0.186,0.002
39.851,628.251,711.751,-16.298,16.438,0.015,0.223,41.762,0.054,41.762,89.926,2.14,0.222,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.506,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.774,90,10.374,930.95,0.001,337.585,0.048,1.799e6,21.6,366.435,0.5,0.187,0.002
40.351,620.104,703.604,-16.291,16.417,0.011,0.024,40.72,0.054,40.72,89.925,2.029,0.021,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.446,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.067,90,10.427,931.861,0.001,337.617,0.048,1.799e6,21.6,366.435,0.5,0.187,0.002
40.851,611.96,695.46,-16.285,16.412,0.014,0.162,39.703,0.053,39.703,89.923,2.039,0.161,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.482,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.311,90,10.48,932.771,0.001,337.649,0.048,1.8e6,21.6,366.435,0.5,0.187,0.002
41.351,603.819,687.319,-16.279,16.416,0.013,0.15,38.663,0.053,38.663,89.921,2.12,0.15,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.473,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.875,90,10.532,933.68,0.001,337.682,0.048,1.8e6,21.6,366.435,0.5,0.187,0.002
41.851,595.681,679.181,-16.272,16.4,0.013,0.181,37.622,0.053,37.622,89.919,2.045,0.18,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.483,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75,90,10.585,934.589,0.001,337.714,0.048,1.801e6,21.6,366.435,0.5,0.187,0.002
42.351,587.547,671.047,-16.265,16.383,0.013,0.193,36.622,0.053,36.622,89.917,1.955,0.193,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.486,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.278,90,10.638,935.498,0.001,337.746,0.048,1.801e6,21.6,366.435,0.5,0.187,0.002
42.851,579.416,662.916,-16.259,16.388,0.011,0.065,35.62,0.053,35.62,89.915,2.051,0.064,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.449,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.949,90,10.691,936.407,0.001,337.778,0.048,1.801e6,21.6,366.435,0.5,0.187,0.002
43.351,571.288,654.788,-16.253,16.378,0.012,0.024,34.603,0.053,34.603,89.912,2.019,0.021,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.455,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,10.744,937.315,0.001,337.81,0.048,1.802e6,21.6,366.435,0.5,0.187,0.002
43.851,563.163,646.663,-16.247,16.374,0.015,0.22,33.59,0.053,33.59,89.91,2.03,0.219,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.508,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.396,90,10.797,938.222,0.001,337.842,0.048,1.803e6,21.6,366.435,0.5,0.187,0.002
44.351,555.041,638.541,-16.24,16.38,0.013,0.172,32.548,0.053,32.548,89.907,2.139,0.172,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.475,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.858,90,10.849,939.13,0.001,337.874,0.048,1.803e6,21.6,366.435,0.5,0.187,0.002
44.851,546.922,630.422,-16.234,16.363,0.013,0.21,31.5,0.053,31.5,89.904,2.053,0.209,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.49,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.71,90,10.902,940.037,0.001,337.906,0.048,1.803e6,21.6,366.435,0.5,0.187,0.002
45.351,538.807,622.307,-16.227,16.344,0.011,0.102,30.499,0.052,30.499,89.902,1.949,0.102,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.454,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.121,90,10.955,940.944,0.001,337.938,0.048,1.804e6,21.6,366.435,0.5,0.187,0.002
45.851,530.695,614.195,-16.221,16.344,0.012,0.087,29.512,0.052,29.512,89.898,2,0.086,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.459,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.146,90,11.008,941.85,0.001,337.97,0.048,1.804e6,21.6,366.435,0.5,0.187,0.002
46.351,522.586,606.086,-16.215,16.344,0.014,0.214,28.501,0.052,28.502,89.895,2.043,0.214,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.502,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,90,11.06,942.756,0.001,338.002,0.048,1.805e6,21.6,366.435,0.5,0.188,0.002
